addr,vote_option,myBank
cosmos1gq6ylpt94vcf3n9t9f72l9xm2ya4cgkzrfycvh,VOTE_OPTION_NO,107.481065
cosmos1xuu9z949fxmy6r9pnwt6zkr55zvl9z5a8wtlpu,VOTE_OPTION_NO,106.384763
cosmos1tc2hll3wfhu247scwnvu6ppgrwgc6sjz8e5hwn,VOTE_OPTION_NO,104.86061
cosmos1d7c3cgdkfxx3xg67re2vccmr6vkxcugjl0va46,VOTE_OPTION_YES,103.857987
cosmos1yavf40mhfjgrc5d5gchxzl7tpr0ldvw5xjz9ed,VOTE_OPTION_NO,103.538703
cosmos1d2w0qzswk6ux7fwsyq62f3cvkxrqkr8lxudncc,VOTE_OPTION_NO,103.401284
cosmos13kgxtcmgjh8deu9uug8wmt75h9vdk5kfychuy5,VOTE_OPTION_NO,103.219578
cosmos1re7mlwnk7f5p5lpz2a92qfh5detwv68jjxynyr,VOTE_OPTION_NO_WITH_VETO,102.661592
cosmos16hvcvhuw5q5jxc6asm8t3h3ltcwgshr5w0fjrf,VOTE_OPTION_NO,102.488435
cosmos1rhj9wp5u3frarxkwer67vufxwvnpfglcw4hvmx,VOTE_OPTION_YES,102.309066
cosmos168g9uzks5jtyavkd986scj4xz35erkd63e40jg,VOTE_OPTION_YES,101.401699
cosmos1za8jtdnfd74dy4zn9qq0y6n02tfdhc6p7l6y0g,VOTE_OPTION_NO,100.757565
cosmos1laevx2vv2nsq4npkez74v8qc3weftpsr7xwc82,VOTE_OPTION_NO,100.584613
cosmos1pm2g0uer9ry5uqmrgzdq7hv0ds8r33a9qlr8rc,VOTE_OPTION_NO,100.559766
cosmos1hzgn9g4anff68xlmkv6n22su56x20g7nksk05w,VOTE_OPTION_NO,100.528086
cosmos16kg6ktyx4hxlyq9t9zumadykea7lkxr8qyvdfm,VOTE_OPTION_ABSTAIN,100.40355
cosmos1d93fxj5xe9q5jtdge5d7wtafdl6kcrxhz4pxqf,VOTE_OPTION_NO,100.336515
cosmos1sqqhdjaxwa2lsk63yuf9h46t5jwslw5xusj5xu,VOTE_OPTION_ABSTAIN,100.234185
cosmos1nawucrwkqqwevn4nyllfk0r6csw0mkywhtvles,VOTE_OPTION_NO,100.224793
cosmos1qdlug9864zj5mh76p7n70f2pcn56jfgt4x2a4u,VOTE_OPTION_NO,100.152867
cosmos16a5k7je4afcv9dmqmz8cawd6mple2etm77f8r8,VOTE_OPTION_NO,98.783852
cosmos1d5zuwtjqx0zxg3pe5ta92c6t9r6e4mrnqya87k,VOTE_OPTION_NO,97.284203
cosmos1q06xf49vk22242aqzge6x36mlkmaq88pwd5p24,VOTE_OPTION_NO,94.905821
cosmos1tuy6z4e7s99uentrrq7gxx4tgdwnw62mwq3k35,VOTE_OPTION_NO,93.000937
cosmos1pd5v3d5mx52634y5vu3fxy8k5380fenfaup985,VOTE_OPTION_YES,92.288724
cosmos1ku0krrc6rd65k8g363grjsslk64k5x0qm7udkr,VOTE_OPTION_ABSTAIN,92.191409
cosmos13pm8s50mszz92yccm0n45aycq5t53hrhxwajfm,VOTE_OPTION_NO,91.383751
cosmos12qahcc7m5axx55mdeqhulwdxha983z760ytmmc,VOTE_OPTION_NO,91.247052
cosmos1wnlaa8pfusemv8pw6jlmujs4drz4h72nqqjguz,VOTE_OPTION_ABSTAIN,90.250657
cosmos1rs8n7csdft9nn5asne6pdkzrjlmvw4a0dp9p02,VOTE_OPTION_NO,89.96374
cosmos10cexzazvlq4dkvqn4f86r4s98zuv3r4fd3px3u,VOTE_OPTION_YES,89.155897
cosmos1td5dazw72qal2rycnlur3xsjkz06q6v7un9mps,VOTE_OPTION_YES,88.946755
cosmos152snc68wx2dew7cxdxly2u8ygkvll6y5spf8m6,VOTE_OPTION_NO,87.746379
cosmos160c4hf65fcxewuf7efhum8p78e2y9wz382jdjd,VOTE_OPTION_YES,86.698597
cosmos1udpsgkgyutgsglauk9vk9rs03a3skc62dg4slh,VOTE_OPTION_NO,86.013226
cosmos17rf9cg5l4hxrenwamqserttfm6z2wellypqf8y,VOTE_OPTION_NO,85.994201
cosmos192cgldvhfvw4s7yzejrxeef73jvc4l7ys6d836,VOTE_OPTION_YES,85.768687
cosmos1r836dhm0v2jfwemnruu33yrnngux4n60xwmq20,VOTE_OPTION_NO,84.891654
cosmos1fpvstwpertdj54rgayzm3n4epag8fwey3uyltn,VOTE_OPTION_NO,83.79254
cosmos1z2w333ttrqhkvpu4x9v059l7q6k9avcduce8rm,VOTE_OPTION_YES,83.162417
cosmos16g2vgj46qvcupamw20kgpj7acpglmc306g2vad,VOTE_OPTION_ABSTAIN,83.07685
cosmos1jndh7uf9fh24qeumg4hqm9v0mzlka4kf0whnvr,VOTE_OPTION_ABSTAIN,82.765273
cosmos1gnfqundmu8pzxh52g6ula38pdmghn6mm0uj3aa,VOTE_OPTION_NO,81.304421
cosmos1e2fyz6qg5naaerm2n7dlewfkf266h58y2mcxay,VOTE_OPTION_NO,80.245787
cosmos1fku9gl93dy3z4d2y58gza06un72ulmd8trruxw,VOTE_OPTION_NO,79.655091
cosmos1nl40dvhm2u8auuw5rtm9k8q84x7zgt567ewk3x,VOTE_OPTION_NO,78.482705
cosmos1jamdpre44ywhswx8khxnz3fx6a5hsj6jdnxzqs,VOTE_OPTION_NO,75.942629
cosmos1zwkanqgznsge9nrawt5m9wm8w5ngp732uzqrpe,VOTE_OPTION_ABSTAIN,74.902296
cosmos1rt0zeylv5fhpe5tp3x9k86hhrrxaeer3hddxj8,VOTE_OPTION_NO,74.26405
cosmos1mwq38w0u8x08rl7ndjgmcz5xuc94062acvcwh6,VOTE_OPTION_NO,73.864458
cosmos1k2nhqsfafhqnxrh0qag6969azvdk7n6tedycvc,VOTE_OPTION_NO,71.326462
cosmos15erhyp4wrdp576fv589xsgwy57uu3w5rfuau5n,VOTE_OPTION_NO,70.974248
cosmos1jpk9z2qlv32laetmzr3c3llfk47za8qw56kth7,VOTE_OPTION_NO,70.966047
cosmos1yy45rmrcjmwkc04vkl4rw3eg30sv0h5dan9aw6,VOTE_OPTION_NO,70.87359
cosmos1wd3j7cvcnr3pfey4fx2mz9xml9euu68zjemlsn,VOTE_OPTION_YES,70.40188
